Postcode,LDZ,Exit Zone
BD108TT,NE,NE1
BD108TW,NE,NE1
BD108TX,NE,NE1
BD108TY,NE,NE1
BD108UA,NE,NE1
BD108UB,NE,NE1
BD108UD,NE,NE1
BD108UE,NE,NE1
BD108UF,NE,NE1
BD108UG,NE,NE1
BD108UH,NE,NE1
BD108UJ,NE,NE1
BD108UL,NE,NE1
BD108UN,NE,NE1
BD108UP,NE,NE1
BD108UQ,NE,NE1
BD108UR,NE,NE1
BD108UT,NE,NE1
BD108UU,NE,NE1
BD108UW,NE,NE1
BD108UY,NE,NE1
BD108WA,NE,NE1
BD108WB,NE,NE1
BD108WD,NE,NE1
BD108WE,NE,NE1
BD108WG,NE,NE1
BD108WH,NE,NE1
BD108WJ,NE,NE1
BD109AA,NE,NE1
BD109AB,NE,NE1
BD109AD,NE,NE1
BD109AG,NE,NE1
BD109AH,NE,NE1
BD109AP,NE,NE1
BD109AQ,NE,NE1
BD109AR,NE,NE1
BD109AS,NE,NE1
BD109AT,NE,NE1
BD109AU,NE,NE1
BD109AX,NE,NE1
BD109AY,NE,NE1
BD109AZ,NE,NE1
BD109BA,NE,NE1
BD109BB,NE,NE1
BD109BD,NE,NE1
BD109BE,NE,NE1
BD109BG,NE,NE1
BD109BH,NE,NE1
BD109BJ,NE,NE1
BD109BL,NE,NE1
BD109BN,NE,NE1
BD109BP,NE,NE1
BD109BQ,NE,NE1
BD109BS,NE,NE1
BD109BT,NE,NE1
BD109BU,NE,NE1
BD109BX,NE,NE1
BD109BY,NE,NE1
BD109DA,NE,NE1
BD109DB,NE,NE1
BD109DD,NE,NE1
BD109DE,NE,NE1
BD109DF,NE,NE1
BD109DH,NE,NE1
BD109DJ,NE,NE1
BD109DL,NE,NE1
BD109DN,NE,NE1
BD109DQ,NE,NE1
BD109ER,NE,NE1
BD109ES,NE,NE1
BD109ET,NE,NE1
BD109HB,NE,NE1
BD109HD,NE,NE1
BD109HE,NE,NE1
BD109HG,NE,NE1
BD109HP,NE,NE1
BD109HQ,NE,NE1
BD109HR,NE,NE1
BD109HS,NE,NE1
BD109HT,NE,NE1
BD109HU,NE,NE1
